seed,inst_0,inst_1,inst_2,inst_3,inst_4,inst_5,inst_6,inst_7,inst_8,inst_9,inst_10,inst_11,inst_12,inst_13,inst_14,inst_15,inst_16,inst_17,inst_18,inst_19,inst_20,inst_21,inst_22,inst_23,inst_24,inst_25,inst_26,inst_27,inst_28,inst_29,inst_30,inst_31,inst_32,inst_33,inst_34,inst_35,inst_36,inst_37,inst_38,inst_39
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.533300,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333300,0.266700,0.000000,0.000000,0.000000,0.000000,0.000000,0.133300,0.000000,0.000000,0.000000,0.400000,0.000000
1,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466700,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133300,0.533300,0.000000,0.000000,0.666700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.066700,0.533300,0.000000,0.000000,0.666700,0.000000,0.000000,0.000000,0.400000
3,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.000000,0.266700,0.066700,0.400000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466700,0.066700,0.000000,0.000000,0.000000
4,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133300,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.000000,0.000000,0.000000,0.133300,0.000000,0.133300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133300
8,0.333300,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.133300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.266700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.066700,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.133300,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066700
12,0.000000,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.733300,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.200000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333300,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.200000,0.266700,0.400000,0.000000,0.000000,0.133300,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000
15,0.200000,0.000000,0.000000,0.066700,0.000000,0.600000,0.000000,0.000000,0.466700,0.733300,0.000000,0.000000,0.400000,0.200000,0.133300,0.800000,0.266700,0.733300,0.000000,0.466700,0.533300,0.000000,0.466700,0.000000,0.000000,0.000000,0.600000,0.533300,0.000000,0.600000,0.066700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.733300,0.000000,0.600000
