seed,t1,t5,t10,t15,t20,t25,t30,t35,t40,final
0,0,2123,2765,4941,6970,9056,3429,3716,,9056
1,0,2119,3911,5120,6552,8028,10838,13551,,13551
2,0,1846,3158,4931,6686,9060,11181,11922,,11922
3,0,2529,4716,5793,6759,9499,5617,7579,,9499
4,0,2391,2765,5027,6619,3402,4568,4985,,6619
5,0,1904,3629,4752,5709,7155,8658,9768,,9768
6,0,2586,3700,3549,3405,3732,3840,3907,,3907
7,0,2568,4994,4413,4240,5952,5465,4493,,5952
8,0,2155,4177,6138,6955,9671,11921,13136,,13136
9,0,2543,3431,4404,6095,4788,6819,8895,,8895
10,0,2021,4141,6707,8576,4828,4664,7010,,8576
11,0,2954,4220,5247,7239,6716,8451,5748,,8451
12,0,2904,4845,7005,9708,8001,8483,5931,,9708
13,0,1839,3335,2775,3968,5746,6760,7280,,7280
14,0,2062,2581,4260,3492,3799,3380,4262,,4262
15,0,1860,3432,5681,7555,10056,11609,13930,,13930
