seed,t1,t5,t10,t15,t20,t25,t30,t35,t40,final
0,1873,1873,1873,1628,1628,1628,1628,1662,,1873
1,1329,1329,1495,1495,1495,1495,1495,1495,,1495
2,1671,1671,1671,1671,1505,1505,1505,1340,,1671
3,1799,1799,1652,1652,1652,1652,1652,1652,,1799
4,833,833,833,789,789,1012,1012,1297,,1297
5,1449,1449,1449,1654,1654,1654,1654,2048,,2048
6,1800,1800,1800,1800,1800,1800,1800,1800,,1800
7,1525,1525,1642,1642,1642,1642,1472,1472,,1642
8,1303,1303,1303,1243,1243,1243,1243,1243,,1303
9,1584,1584,1584,1910,1910,1835,1835,2284,,2284
10,1901,1901,1812,1812,1812,1859,1859,1859,,1901
11,1871,1871,1871,1871,1871,1966,1966,1966,,1966
12,1753,1753,1753,1823,1823,1823,1823,1823,,1823
13,1893,1893,2172,2172,2172,2172,2358,2072,,2358
14,527,527,527,527,527,811,811,811,,811
15,1601,1601,1601,1601,1601,1601,1601,1479,,1601
