seed,t1,t5,t10,t15,t20,t25,t30,t35,t40,final
0,735,735,735,626,626,933,933,933,,933
1,1152,1152,1152,1152,1152,1153,1153,1153,,1153
2,1507,1507,1507,1507,1507,1507,1507,1507,,1507
3,1425,1425,1425,1425,1425,1425,1425,1857,,1857
4,795,795,1135,1135,1718,1718,1718,1718,,1718
5,1158,1158,1158,1158,1066,1066,1360,1124,,1360
6,1213,1213,1400,1400,1501,1501,1501,1400,,1501
7,1549,1549,1549,1549,1477,1477,1477,2190,,2190
8,1089,1089,1089,1089,1857,1857,1857,1857,,1857
9,1383,1383,1383,1383,1383,1758,1758,1758,,1758
10,1207,1207,1207,1207,1079,1079,1079,1079,,1207
11,2228,2228,2228,2528,2528,2528,2528,2528,,2528
12,1528,1528,1528,1528,2182,2182,2182,1831,,2182
13,1087,1087,1087,1087,1087,1367,1367,1087,,1367
14,887,887,887,887,887,1324,1324,1324,,1324
15,1934,1934,1934,1934,2151,2151,2359,2142,,2359
