seed,t1,t5,t10,t15,t20,t25,t30,t35,t40,final
0,1247,1235,2995,3578,4522,5273,5455,6573,,6573
1,1351,1689,2955,3468,3732,3034,3668,3746,,3746
2,1431,1323,3394,3748,4161,5218,6298,6350,,6350
3,1579,1461,3614,3614,4359,5086,5101,5455,,5455
4,1331,1316,2986,3550,4774,5117,6240,6794,,6794
5,1286,1165,2087,2173,3017,3609,3143,3929,,3929
6,1583,1688,3752,4324,5373,6612,6612,7333,,7333
7,1395,1779,2755,3326,3326,3809,3971,4771,,4771
8,1025,1050,3813,4255,2857,3756,5260,5619,,5619
9,1119,1034,3054,3113,3153,3153,4535,4535,,4535
10,1419,1221,3400,3629,3781,3781,5009,5358,,5358
11,1301,1127,2985,3270,3747,4170,4467,4750,,4750
12,1527,1391,4051,3678,3809,5431,6886,7079,,7079
13,1602,1655,3137,3390,3560,3953,3937,4255,,4255
14,1352,1220,2854,2854,3532,4184,4729,5119,,5119
15,815,4897,5095,6201,6316,5227,6583,6628,,6628
