seed,t1,t5,t10,t15,t20,t25,t30,t35,t40,final
0,1640,1640,1640,2003,2003,2197,2043,2043,,2197
1,1418,1418,1418,1418,1418,1418,1853,1853,,1853
2,1845,1845,1845,1845,1845,1986,1986,2279,,2279
3,1067,1067,1067,928,928,928,928,928,,1067
4,1379,1379,1475,1475,1475,1475,1661,1661,,1661
5,995,995,995,1039,1039,1039,1039,1283,,1283
6,1260,1260,1260,1260,1260,1054,1054,1240,,1260
7,1875,1875,2146,2146,2568,2568,2584,2501,,2584
8,1294,1294,1294,1294,1294,1856,1856,1856,,1856
9,1656,1656,1656,1656,1656,1656,1656,1656,,1656
10,1256,1256,1441,1441,1441,1441,2384,2384,,2384
11,1036,1036,1036,1036,1293,1293,1293,1293,,1293
12,1739,1739,1739,1739,1739,1739,1739,1739,,1739
13,1300,1300,1705,1705,2186,2186,2670,2089,,2670
14,1263,1263,1477,1477,1477,1477,1477,1477,,1477
15,1429,1429,1429,1429,1429,1429,1429,1429,,1429
