seed,t1,t5,t10,t15,t20,t25,t30,t35,t40,final
0,0,1945,1945,3248,3248,3677,3677,4387,,4387
1,0,1888,1888,2782,2782,3465,3465,4213,,4213
2,0,2034,2034,2034,2648,2648,3337,3337,,3337
3,0,1796,1796,3059,3059,4586,4586,5634,,5634
4,0,2674,2674,4375,4375,5727,5727,5727,,5727
5,0,1925,1925,2397,2397,2804,2804,3012,,3012
6,0,1524,1524,2570,2570,2895,2895,4322,,4322
7,0,1761,1761,3054,3054,3903,3903,5344,,5344
8,0,2370,2370,2370,3284,3284,3759,3759,,3759
9,0,1957,1957,2616,2616,3205,3205,4469,,4469
10,0,2024,2024,3412,3412,4394,4394,4964,,4964
11,0,1816,1816,2523,2523,2930,2930,4178,,4178
12,0,1841,1841,3122,3122,4259,4259,4942,,4942
13,0,1762,1762,2372,2372,3099,3099,3746,,3746
14,0,2226,2226,2989,2989,4111,4111,4529,,4529
15,0,1910,1910,2807,2807,4251,4251,5634,,5634
