instance,gpt5_tt,gpt5_icl,mm_icl,mm_tt,k26_icl,k26_tt
1,-0.006616,-0.003812,-0.039186,-0.031915,-0.022901,-0.017864
2,0.003237,-0.030256,-0.001272,-0.000926,0.000982,-0.015591
3,0.004314,-0.021090,-0.024035,0.001596,-0.009861,-0.009747
4,-0.016789,-0.026551,-0.025560,0.010191,-0.021174,-0.008180
5,-0.009104,0.003068,-0.030407,-0.016882,-0.019755,-0.006907
6,0.002359,-0.031076,-0.019074,-0.008221,-0.008358,-0.019648
7,0.008802,-0.001352,-0.013597,0.007773,-0.002397,0.003211
8,-0.023013,-0.007697,-0.032060,-0.009253,-0.027536,-0.008475
9,-0.018135,-0.012135,-0.014141,-0.016226,-0.016138,-0.014181
10,-0.012225,-0.008043,0.001863,-0.004894,-0.005181,-0.006469
11,-0.013576,-0.009248,-0.033090,-0.012182,-0.023333,-0.010715
12,-0.011377,-0.099946,-0.047720,0.003387,-0.029548,-0.048279
13,0.019381,-0.031033,-0.043256,0.007420,-0.011938,-0.011807
14,-0.027153,-0.005767,-0.058648,0.008103,-0.042901,0.001168
15,0.051283,0.012952,-0.041246,0.038883,0.005019,0.025917
16,0.027905,-0.052472,-0.021095,0.005145,0.003405,0.023663
17,0.101634,-0.032056,0.030621,0.016246,0.066128,0.007905
18,-0.009567,0.002036,0.025825,0.005540,0.008129,0.003788
19,0.105862,-0.024340,-0.003614,0.074986,0.051124,0.025323
20,0.030101,0.009042,-0.011358,0.046480,0.009371,0.027761
