instance,gpt5_icl,gpt5_tt,mm_icl,mm_tt,k26_icl,k26_tt
1,0.033350,0.000000,0.000000,0.000000,0.016675,0.000000
2,0.366650,0.000000,0.200000,0.500000,0.283325,0.250000
3,0.433350,0.300000,0.000000,0.000000,0.216675,0.150000
4,0.433350,0.100000,0.000000,0.000000,0.216675,0.050000
5,0.466650,0.000000,0.466650,0.000000,0.466650,0.000000
6,0.466650,0.400000,0.000000,0.433350,0.233325,0.233325
7,0.433350,0.400000,0.400000,0.366650,0.416675,0.383325
8,0.433350,0.433350,0.000000,0.400000,0.216675,0.416675
9,0.400000,0.000000,0.000000,0.066650,0.200000,0.233325
10,0.433350,0.466650,0.333350,0.466650,0.383350,0.466650
11,0.400000,0.833350,0.366650,0.266650,0.383325,0.550000
12,0.400000,0.400000,0.700000,0.366650,0.550000,0.000000
13,0.000000,0.933300,0.000000,0.366650,0.000000,0.649975
14,0.466700,0.700000,0.000000,0.333350,0.233350,0.516675
15,0.300000,0.300000,0.333350,0.000000,0.316675,0.300000
16,0.766650,0.733300,0.000000,0.433350,0.383325,0.683325
17,0.433350,0.933300,0.000000,0.433350,0.216675,0.683325
18,0.000000,0.466650,0.000000,0.000000,0.000000,0.233325
19,0.900000,0.733300,0.000000,0.333350,0.450000,0.633325
20,0.333350,0.800000,0.000000,0.000000,0.166675,0.400000
21,0.000000,0.000000,0.000000,0.333350,0.000000,0.166675
22,0.233350,0.366650,0.000000,0.000000,0.116675,0.183325
23,0.333350,0.000000,0.433350,0.266650,0.383350,0.133325
24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0.000000,0.300000,0.466650,0.000000,0.233325,0.150000
26,0.833300,0.633300,0.000000,0.000000,0.416650,0.000000
27,0.000000,0.466650,0.000000,0.000000,0.000000,0.233325
28,0.800000,0.466650,0.000000,0.400000,0.400000,0.433325
29,0.700000,0.466650,0.900000,0.300000,0.800000,0.233325
30,0.466650,0.700000,0.466650,0.000000,0.466650,0.000000
31,0.466650,0.000000,0.000000,0.433350,0.233325,0.000000
32,0.000000,0.466650,0.000000,0.000000,0.000000,0.233325
33,0.000000,0.300000,0.433350,0.433350,0.216675,0.366675
34,0.433350,0.466650,0.000000,0.000000,0.216675,0.233325
35,0.433350,0.900000,0.000000,0.300000,0.216675,0.450000
36,0.000000,0.000000,0.000000,0.000000,0.366600,0.000000
37,0.400000,0.633300,0.466650,0.433350,0.433325,0.433350
38,0.400000,0.466650,0.000000,0.000000,0.200000,0.233325
39,0.633300,0.433350,0.466650,0.733350,0.549975,0.583350
40,0.733350,0.466650,0.466650,0.800000,0.600000,0.633325
